id,created,karma,about,submitted
_------------_,2018-10-30 22:25:25,5,,"{18723436,18710285,18341881}"
_-----_,2022-12-07 19:45:14,38,,"{34353215,34346450,34314090,34277524,34262511,34259647,34239938,34236652,34236445,34235992,34199795,34137505,34114262,34105849,33945079,33945054,33926931,33915446,33915425}"
_--,2016-08-27 21:06:13,-1,,"{12390950,12390899,12373932}"
_---____--_--,2022-03-17 12:35:53,6,,{30710444}
_--_,2014-08-02 11:52:04,-7,,"{10919437,8668545,8349770,8335037}"
_--_----_--_,2011-08-09 00:17:37,5,just wandering around,"{3057854,2936170,2881969,2861960}"
_--__--__,2020-02-24 17:36:53,21,,"{41506632,41207475,33171311,31927691,31927690,29008735,25444819,22407983}"
_--___-___,2019-07-09 20:49:22,11,,"{24152556,23797608,22321065,22239248,21973585,21970978,21714827,21696737,21576081,20867986,20748802}"
_-_-_-,2013-10-18 00:43:28,-20,"","{6569743,6569721,6569642,6569580,6569556,6569529,6569497,6569491,6568948}"
_-_-_-_,2015-02-10 08:08:56,12,"","{9204764,9204535,9105003,9088165}"
_-_-_-_-,2015-08-23 15:28:29,2,,{10105578}
_-__---,2014-06-30 14:22:20,174,,"{18057994,17031701,15279081,14841480,14310165,14088718,14088645,13884949,13814661,13813594,13754618,13748506,13337730,12856901,12304731,11920194,11846617,11707091,11621327,11542819,11430732,11360226,11113168,10980161,10881676,10794548,10751470,10679108,10649636,10535034,10507624,10501888,10477511,10471436,10464289,10355868,10331552,10306448,10305477,10205073,10200537,10200032,10192256,10191413,10116556,10073292,10060578,9599913,9545259,9468990,9429085,9328254,9033035,8966827,8935345,8920703,8888957,8813195,8725637,8659607,8590124,8585998,8458813,8421039,7964903}"
_-_-__-_-_-,2022-10-05 12:18:49,15,,"{41469525,41410205,41060688,41050614,40923037,40897264,39340813,37620337,37483326,33722036,33239980,33179712,33094068,33093992}"
_-__--____--,2017-04-20 21:52:46,2,,"{14161117,14161031,14160939,14160880,14160810}"
_-____-_,2022-12-21 15:25:09,105,,"{36587023,36455130,36423629,36423607,36422026,36422010,36393544,36296820,36234253,36220578,36220558,36218452,36218438,36213193,36107535,36096431,36087975,36009109,35982097,35981535,35980064,35978154,35975370,35975344,35394763,35233182,35233116,35219019,35218887,35218826,35218764,35218713,35218524,35151860,35123762,35024131,35023055,34997458,34296564,34166858,34155891,34155860,34145162,34145072,34144775,34124591,34112975,34112958,34100388,34099833}"
__,2007-02-20 17:52:01,1113,"","{1080426,1080215,1079587,1056151,1049571,1020239,1002518,1001877,991876,986516,893967,870975,843082,760343,737143,727029,715943,711497,707245,674887,672771,667872,665835,634508,631651,621320,618058,612033,605004,599294,599018,531647,526654,441113,420235,357723,353290,341799,336352,323193,300907,297369,295040,293391,291477,287570,283188,283097,259690,256978,255101,244589,229235,228974,224152,216924,215725,214151,201494,197426,196735,196434,186635,186447,184926,170044,169972,169927,166929,166785,160454,154012,148090,148085,147885,147186,147077,141217,138710,136345,136118,133933,133912,133907,133818,133294,132618,131646,131597,131046,129286,126479,125302,125176,115627,115613,112988,112905,112841,112335,111640,111464,111277,110659,110117,110064,110059,109963,109612,108450,108440,108287,108089,108086,108030,107682,106545,106365,105936,105902,105860,105063,103843,103842,103257,102961,100191,100190,99881,99708,99698,98960,98954,98921,98807,98433,98432,98410,98407,98351,98336,98328,98230,98002,97696,97651,97505,96948,96947,96486,94248,94068,93609,93607,93122,93035,92780,92777,86795,81818,81599,78788,15231,15215,14765,14257,13718,185,184,183}"
_-___________-_,2019-01-17 15:17:37,2315,,"{26364629,26354658,26354625,26354602,26354594,26339128,26338645,26338637,26338026,26337538,26337528,26337511,26326943,26326923,26326656,26325037,26325002,26261566,26261556,26191039,26151525,26150325,26150315,26142138,26140036,26096593,25975211,25975136,25889805,25880756,25868094,25868085,25857992,25857915,25856233,25745882,25698733,25610517,25600479,25589221,25578360,25577959,25566483,25566391,25566371,25566147,25566094,25556670,25533967,25533912,25533905,25354873,25342410,25329582,25320184,25312275,25299851,25298810,25297647,25297626,25297473,25221347,25196781,25183802,25173987,25173966,25173906,25107116,25081310,25081269,25079561,25079311,25066063,25066045,25066042,25045335,25045189,25045159,25045060,25045030,25044812,25044793,25044784,25044771,25031542,25031529,24995798,24995787,24995780,24995748,24978111,24977415,24977408,24977343,24976065,24967701,24959040,24957220,24957219,24957207,24957203,24957193,24957185,24939903,24939897,24939887,24938558,24938244,24938232,24915782,24915765,24915714,24913429,24913268,24909487,24907551,24907544,24907510,24893699,24892666,24892650,24892624,24892594,24883470,24883447,24883385,24877833,24877725,24877298,24871989,24871965,24871927,24871884,24868864,24868843,24868833,24868829,24868771,24854234,24854192,24854118,24846886,24846881,24846879,24834763,24834734,24834677,24834661,24834653,24834644,24834618,24834304,24833915,24833897,24833890,24816269,24772937,24764253,24764032,24763793,24763789,24762557,24762516,24752889,24752774,24752285,24745232,24726840,24726805,24726506,24717717,24717613,24717606,24717508,24694915,24687611,24687288,24687168,24685837,24685099,24685091,24658118,24658098,24658074,24650023,24648943,24648920,24648909,24615163,24615063,24614373,24613446,24613355,24613029,24613025,24613006,24612993,24612974,24604787,24604248,24596811,24586046,24577001,24552299,24541686,24541589,24532563,24526763,24526698,24526681,24525894,24525879,24525869,24525859,24515101,24515053,24490930,24471082,24458521,24458518,24458460,24458433,24451554,24451546,24451284,24451130,24451078,24450968,24450959,24450910,24429595,24429538,24429523,24428456,24381121,24381100,24381057,24381033,24372713,24372708,24361027,24331760,24331530,24331498,24331488,24331479,24330102,24328928,24185563,24176698,24169190,24165825,24130100,24119349,24109531,24107158,24106889,24106708,24106525,24088689,24088679,24088646,24088632,24088618,24077824,24077795,24077750,24067757,24067750,24059508,24059480,24059460,24059455,24059452,24027767,24022642,23996541,23984756,23974740,23963357,23963331,23963299,23963292,23963024,23957171,23948076,23914055,23913533,23913488,23906290,23906273,23905946,23868604,23868584,23856617,23855350,23820474,23818575,23818569,23818500,23818490,23818266,23818249,23818223,23808358,23808317,23808292,23808282,23788884,23788873,23788088,23788077,23768025,23768008,23767473,23767464,23767449,23766091,23766039,23755194,23755168,23755056,23755034,23745927,23745921,23744065,23732375,23731543,23722840,23721539,23721011,23720998,23720995,23720993,23687693,23687687,23667307,23650029,23648702,23648696,23637992,23598745,23540178,23540089,23540048,23498171,23473163,23375500,23368685,23349271,23349262,23204976,23140339,23123691,23088098,23058032,23043008,23006531,23006466,22985309,22985295,22985272,22985241,22985230,22985220,22985216,22954542,22886588,22866238,22864361,22864350,22864251,22832209,22831883,22831872,22831868,22831845,22819659,22814504,22813699,22813684,22812206,22812187,22800497,22800163,22800156,22793150,22776219,22776199,22769657,22769638,22769620,22768638,22768544,22768537,22768521,22768496,22768476,22768417,22768161,22768122,22768120,22767976,22767970,22767310,22767300,22767287,22766148,22759930,22759899,22759871,22759708,22758575,22757811,22757803,22757801,22757788,22757783,22757130,22757001,22757000,22756494,22756296,22756290,22756258,22756249,22748828,22747904,22747859,22745950,22745938,22740658,22740649,22739338,22739035,22738994,22736094,22736077,22727305,22727156,22727140,22727036,22727032,22727010,22726999,22725788,22711519,22652715,22645515,22645511,22625897,22625725,22625700,22625679,22625257,22625246,22625242,22625237,22625227,22624953,22614192,22590862,22590841,22590836,22590829,22590721,22590718,22590707,22590690,22590595,22573795,22573768,22566527,22566481,22566174,22566171,22566102,22566055,22566046,22566030,22565330,22565323,22565154,22565118,22564712,22564693,22564678,22564650,22564571,22554859,22553969,22553959,22553953,22553950,22544755,22544719,22544701,22544691,22544676,22544669,22544653,22542923,22524191,22524189,22524181,22510596,22510583,22510518,22510397,22510390,22510385,22510360,22510334,22510318,22510315,22510309,22510276,22510261,22510249,22492832,22482804,22482749,22473187,22471018,22463474,22462641,22461985,22461655,22461129,22430462,22421992,22421972,22421969,22421962,22421234,22421213,22421209,22421194,22421183,22421160,22420559,22420543,22420542,22420537,22412104,22411987,22411984,22411945,22411876,22411786,22411761,22411753,22411674,22411666,22411632,22411628,22411618,22411616,22411613,22410974,22410885,22410878,22410871,22403324,22403317,22402100,22402097,22396478,22396472,22395459,22390280,22390218,22376695,22376676,22376579,22376368,22376357,22373117,22365174,22365167,22364474,22364461,22355121,22355046,22355041,22354953,22354937,22354810,22354761,22354628,22354613,22354585,22347905,22346674,22346610,22346601,22345588,22345500,22345493,22345457,22345449,22345420,22345405,22341677,22341163,22340933,22340932,22340893,22340886,22340885,22340883,22340662,22340586,22340552,22340510,22340507,22340467,22340274,22340211,22340206,22340159,22340124,22325870,22324665,22324610,22324363,22324357,22324155,22324152,22316932,22316917,22316908,22316702,22316676,22316271,22316225,22316223,22315528,22315492,22315484,22315393,22315389,22315384,22315379,22307933,22307823,22307818,22307812,22307799,22307790,22307782,22307351,22307229,22307130,22307122,22305893,22305837,22305822,22305774,22305757,22305514,22305493,22305464,22305426,22305335,22297682,22296332,22296234,22296091,22296043,22295970,22295954,22295920,22295917,22295439,22246197,22235229,22232720,22218736,22218641,22218460,22218405,22218280,22217422,22217407,22217399,22213632,22213620,22213585,22211104,22210822,22210645,22210568,22209606,22209601,22206931,22206905,22205983,22200974,22200971,22200963,22200957,22200946,22200931,22200918,22200911,22200872,22154485,22147598,22137711,22136962,22136835,22136825,22126850,22126327,22121156,22119590,22119464,22119437,22119408,22117962,22116812,22109329,22108561,22108137,22107573,22107201,22107172,22107137,22107042,22106753,22106688,22106648,22106627,22086763,22086553,22085327,22084276,22077563,22076441,22076393,22072485,22000142,21945886,21936887,21936869,21935882,21926291,21926289,21923729,21923274,21922856,21921820,21921753,21921748,21921660,21921509,21920961,21920908,21920856,21920847,21920839,21920812,21920630,21920190,21900176,21900163,21900020,21898016,21898003,21897996,21897925,21887528,21887509,21857837,21694111,21693048,21693019,21610828,21595969,21595958,21595957,21595868,21559146,21559134,21534439,21534214,21363650,21363633,21356273,21345075,21345059,21344929,21344916,21323912,21323219,21323140,21323105,21322502,21322497,21322485,21322451,21322400,21313483,21313405,21313343,21313308,21312686,21312676,21312648,21312627,21312613,21312589,21312555,21312539,21312458,21284428,21283971,21263181,21223169,21223154,21223118,21178482,21144775,21123906,21123857,21123826,21014998,21014972,21013867,21013191,20910692,20910684,20910670,20865372,20829267,20724318,20724314,20714145,20714135,20714119,20714084,20714074,20708108,20708098,20708093,20706831,20706819,20706775,20706685,20706126,20649034,20649014,20648998,20647487,20647464,20647408,20647301,20623220,20616918,20615605,20614077,20612055,20585976,20585939,20585448,20585420,20570005,20566974,20502106,20389358,20371492,19667890,19349518,19349348,19328305,19309036,19309030,19300184,19262361,19262341,19189736,19187366,19183884,19161153,19160876,19073509,18977124,18931369}"
__-,2020-11-21 00:51:49,1,,{25167100}
___,2010-01-13 18:47:36,1,,{1051883}
__--__,2012-11-28 19:41:52,247,,"{7356782,7356780,7339938,7309297,7309148,7307852,7305363,7305309,7293634,7286036,7274680,7261451,7255113,7241167,7237160,7236666,7203687,7186596,7166410,7160478,7056756,7054960,7032596,7030624,7002363,6996989,6996972,6976362,6973883,6973782,6969161,6969092,6926245,6859076,6835419,6835400,6816644,6799491,6763652,6763617,6746382,6734613,6719373,6715653,6698516,6660427,6660392,6641418,6566512,6551776,6551252,6551176,6542696,6539976,6538975,6518947,6497348,6495170,6493446,6473700,6442060,6442043,6428758,6427077,6427066,6427039,6422059,6421756,6421719,6405912,6405350,6405337,6394524,6390824,6390798,6389775,6382339,6382329,6367368,6367276,6367151,6367107,6356405,6356383,6356341,6350363,6331466,6331324,6328042,6327772,6324239,6320983,6316180,6305455,6305180,6305174,6299079,6287249,6287082,6283820,6275650,6270348,6270326,6264939,6264806,6264685,6264608,6264550,6251613,6248391,6248349,6244233,6221352,6213661,6203420,6203395,6197540,6196964,6192555,6192520,6180393,6165264,6157259,6155736,6125448,6084176,6072154,6072140,6054179,6053987,6053819,6048328,6048259,6048217,6047725,6039919,6021368,6020151,6020112,6010819,6010781,6008870,6008776,6005272,5960896,5922763,5919869,5919476,5909466,5909424,5903033,5903012,5884393,5871439,5867319,5867095,5822935,5822918,5811132,5810903,5810741,5788070,5780945,5776395,5772030,5768974,5764616,5757467,5753588,5753427,5687714,5678742,5651792,5634686,5620883,5607557,5602877,5602806,5602784,5596008,5591426,5553351,5542814,5466635,5463105,5457874,5457695,5457599,5457532,5450142,5444273,5376065,5376036,5350955,5350818,5332035,5328451,5328437,5310995,5310933,5280995,5280933,5273160,5254399,5229822,5229678,5203887,5202675,5194573,5192076,5192048,5190057,5189953,5172078,5165813,5162732,5110915,5093619,5093519,5075104,5075031,5074952,5068988,5018154,5003998,4971606,4971123,4970563,4938156,4938099,4933452}"
___----___,2019-12-13 21:45:31,2,,{21785854}
____---___-,2022-09-12 09:22:40,1,,{32807441}
_____-___,2020-01-13 23:53:47,23,,"{39488945,39462127,39449730,39240682,38959170,36316286,36099799,33810823,29445729,23892915,23853617,23853456,22046089}"
______,2011-02-14 23:37:47,438,,"{41015712,39304327,39091136,38517472,38264694,36878936,36849900,36698452,36218711,35690871,35690362,35655644,35635426,35108917,35029382,34777251,34679405,34280391,34247655,33838441,32763949,32573282,30139983,26987276,17646635,17020956,10942922,9494551,8847385,8559122,8519466,6171165,5344726,5120446,5120420,5101008,4984387,4951328,4751932,4737279,4735806,4686486,4610706,4595266,4297266,4196173,3879933,3840533,3830910,3784230,3759976,3711802,3681740,3677794,3623599,3611329,3564922,3503005,3460918,3398134,3386913,3359238,3283063,3226070,3219971,3179553,3091588,3091145,3064879,3039358,3035840,2943903,2824720,2822130,2799968,2779288,2778330,2777777,2597340,2489695}"
______---______,2020-03-11 21:15:39,-3,,{22550871}
______-,2021-05-03 18:00:01,611,,"{27569937,27569883,27569875,27539973,27528271,27528231,27528182,27508615,27508565,27505779,27505744,27504667,27504652,27503613,27503540,27497512,27497496,27497459,27497392,27496035,27495971,27495912,27494675,27494658,27494396,27493803,27493584,27493457,27493430,27493328,27487471,27487260,27487181,27487172,27487157,27487149,27485461,27474531,27474169,27472371,27472313,27472240,27464693,27464247,27464139,27464027,27463996,27463951,27463719,27463653,27463479,27461188,27461176,27460897,27460693,27460659,27460643,27460591,27460266,27460216,27460207,27459711,27438913,27438890,27435212,27435160,27424435,27423707,27423685,27423647,27414908,27414895,27414777,27398043,27398018,27398017,27398010,27388691,27388626,27383719,27381502,27369947,27369909,27369532,27368861,27368796,27368741,27368725,27368362,27368339,27360833,27360781,27357086,27357067,27357031,27354454,27350006,27350002,27349974,27349960,27349884,27349868,27349819,27349114,27348969,27348916,27348866,27348842,27348582,27347388,27347383,27346012,27346006,27345930,27345111,27345057,27345020,27344934,27336088,27336029,27336014,27335582,27335537,27335369,27335055,27327427,27327194,27327166,27326844,27326563,27326539,27326524,27326449,27326421,27326406,27326369,27325324,27325306,27325282,27325266,27324943,27318820,27318753,27318726,27306493,27306104,27306037,27306033,27306004,27305896,27303561,27260516,27260506,27260497,27257351,27257326,27257206,27256997,27256842,27256192,27256163,27254967,27254891,27254763,27254668,27254630,27254628,27254612,27254466,27249325,27247912,27247735,27247516,27247508,27247503,27247489,27247456,27247383,27246489,27246380,27246354,27235956,27235189,27235161,27224165,27224047,27223505,27223364,27223278,27223267,27208564,27208359,27198175,27198155,27198083,27195607,27195579,27195545,27186863,27186045,27184390,27184317,27184213,27184061,27184047,27183007,27182909,27175269,27175239,27174932,27174464,27174131,27174126,27173959,27173942,27173794,27173784,27173734,27173686,27173212,27165783,27165756,27165736,27165727,27156660,27144568,27144382,27142241,27142224,27142211,27141854,27132434,27132323,27132300,27132288,27132139,27132091,27108085,27108053,27106753,27106717,27106333,27106291,27097966,27096503,27096494,27088435,27088239,27087502,27086392,27086327,27078027,27077718,27077644,27077108,27077083,27076941,27076859,27076415,27076396,27070746,27070728,27066847,27066787,27049362,27049288,27049271,27028917,27027641}"
______-_-______,2022-01-28 01:36:23,1094,,"{31339806,31339070,31332092,31328996,31322115,31320656,31309371,31309358,31306268,31306207,31306139,31306092,31304827,31304004,31303988,31303981,31298216,31298007,31290778,31290692,31285429,31267178,31260534,31255172,31249235,31247966,31242541,31230286,31230202,31221488,31221454,31218860,31216912,31199348,31193760,31187664,31172450,31172329,31161678,31158133,31145466,31139721,31134636,31124124,31124066,31123320,31112280,31112163,31100488,31098279,31097457,31096867,31096416,31090939,31083788,31074244,31070945,31070875,31070147,31064143,31060864,31057627,31057613,31057494,31044522,31034597,31021294,31009974,31009954,31009927,31003370,31002720,30997524,30994252,30982122,30981923,30973042,30972912,30958703,30950970,30950906,30947270,30933488,30922785,30919627,30918926,30879284,30878852,30878723,30870182,30870123,30861866,30849181,30847965,30831980,30830229,30825020,30824999,30824928,30823769,30822704,30821761,30816538,30816284,30801869,30797970,30797945,30796571,30795951,30795199,30795165,30794081,30790315,30784510,30779044,30778911,30778617,30773941,30771544,30768379,30766126,30765483,30761502,30758977,30758569,30758547,30755885,30754380,30754173,30754075,30754031,30743762,30734119,30734081,30723446,30723428,30723403,30723376,30721926,30714775,30705903,30705470,30700666,30689811,30689224,30689066,30688969,30680579,30680469,30680423,30665564,30652033,30651679,30614718,30609554,30608578,30608551,30562755,30560582,30560460,30559983,30555503,30555472,30548512,30548396,30535747,30518836,30514002,30507944,30504218,30495216,30474679,30468127,30467543,30461547,30456954,30444302,30442712,30423411,30423357,30422928,30422851,30407165,30401378,30335078,30282183,30282000,30281917,30254737,30229187,30228959,30226571,30216952,30216890,30196698,30196639,30196509,30180442,30139060,30137785,30137714}"
_______,2010-08-30 11:19:09,1,,{1645809}
_______-_______,2014-09-10 20:07:06,2,,"{11654135,8298420}"
__________,2012-08-28 23:33:57,8,,"{4448313,4448275,4447066,4446456,4446231}"
_____________,2014-06-27 11:26:45,2,,{7953409}
_____________-,2015-12-28 14:19:38,6,,"{10832303,10830552,10801168}"
_______________,2012-05-16 03:58:32,6,"","{5145377,5142194,5142094,5142042,5142013,5141697,5067620,5067613}"
_-0,2016-10-31 03:42:31,1,,{12834169}
_-0-_,2020-04-22 14:46:27,2,,{22945480}
_0--__,2015-12-09 04:27:06,2,,{10701963}
0-,2014-03-12 08:54:13,1,,{7398199}
_0___0_,2017-02-26 04:48:12,1,,{13735728}
0--__-_-__--0,2018-11-01 19:49:31,2,,"{28243141,26652917,18357789}"
0-_-_-_-_-_-_-0,2012-06-30 10:08:16,5,"","{4253090,4204719,4181207,4181179,4181172}"
0-0,2009-12-03 18:52:51,2,,{974980}
0_________0,2018-06-30 12:00:54,2,,{17430375}
